Title,Portfolio,Domain,ReportURL,ReportPageTitle
Department of Agriculture and Water Resources,Agriculture and Water Resources,agriculture.gov.au,http://www.agriculture.gov.au/about/reporting/obligations/contracts,"Department of Agriculture Contracts over $100,000 or more"
Australian Fisheries Management Authority,Agriculture and Water Resources,afma.gov.au,https://www.afma.gov.au/about/corporate-publications,Corporate publications & reports | Australian Fisheries ...
Australian Pesticides and Veterinary Medicines Authority,Agriculture and Water Resources,apvma.gov.au,https://apvma.gov.au/sites/default/files/files-list-jan-jun14.pdf,Indexed list of file titles - Senate Continuing Order
Cotton Research and Development Corporation,Agriculture and Water Resources,crdc.com.au,https://www.crdc.com.au/sites/default/files/Indexed%20list%20of%20files%20July%20to%20Dec%202018.pdf,Indexed list of file title – Senate Continuing Order No
Fisheries Research and Development Corporation,Agriculture and Water Resources,frdc.com.au,http://frdc.com.au/About-us/Corporate-documents,Corporate documents - FRDC
Grains Research and Development Corporation,Agriculture and Water Resources,grdc.com.au,https://grdc.com.au/about/corporate-governance/indexed-list-of-files,Indexed List of Files - GRDC
Murray-Darling Basin Authority,Agriculture and Water Resources,mdba.gov.au,https://www.mdba.gov.au/about-us/accountability-reporting/list-mdba-files,Authority indexed file lists | Murray-Darling Basin Authority
Rural Industries Research and Development Corporation (trading as AgriFutures Australia),Agriculture and Water Resources,agrifutures.com.au,https://www.agrifutures.com.au/wp-content/uploads/2019/02/Indexed-list-of-file-titles-July-2018-to-December-2018.pdf,Indexed list of file titles - agrifutures.com.au
Wine Australia,Agriculture and Water Resources,www.wineaustralia.com,https://www.wineaustralia.com/about-us/indexed-list-of-files,Wine Australia indexed list of files | Wine Australia
"Advisory Committee on Social, Economic and Environmental Sciences",Agriculture and Water Resources,mdba.gov.au,https://www.mdba.gov.au/about-us/accountability-reporting/list-mdba-files,Authority indexed file lists | Murray-Darling Basin Authority
Australian Pesticides and Veterinary Medicines Authority Advisory Board,Agriculture and Water Resources,apvma.gov.au,https://apvma.gov.au/sites/default/files/files-list-jan-jun14.pdf,Indexed list of file titles - Senate Continuing Order
Basin Officials Committee,Agriculture and Water Resources,mdba.gov.au,https://www.mdba.gov.au/about-us/accountability-reporting/list-mdba-files,Authority indexed file lists | Murray-Darling Basin Authority
Director of Biosecurity,Agriculture and Water Resources,agriculture.gov.au,http://www.agriculture.gov.au/about/reporting/obligations/contracts,"Department of Agriculture Contracts over $100,000 or more"
Forest and Wood Products Council,Agriculture and Water Resources,agriculture.gov.au,http://www.agriculture.gov.au/about/reporting/obligations/contracts,"Department of Agriculture Contracts over $100,000 or more"
Inspector-General of Biosecurity,Agriculture and Water Resources,igb.gov.au,http://www.igb.gov.au/SiteCollectionDocuments/review-report-uncooked-prawn-imports.docx,Uncooked prawn imports: effectiveness of biosecurity controls
Murray-Darling Basin Community Committee,Agriculture and Water Resources,mdba.gov.au,https://www.mdba.gov.au/about-us/accountability-reporting/list-mdba-files,Authority indexed file lists | Murray-Darling Basin Authority
National Rural Advisory Council,Agriculture and Water Resources,agriculture.gov.au,http://www.agriculture.gov.au/about/reporting/obligations/contracts,"Department of Agriculture Contracts over $100,000 or more"
Statutory Fishing Rights Allocation Review Panel,Agriculture and Water Resources,agriculture.gov.au,http://www.agriculture.gov.au/about/reporting/obligations/contracts,"Department of Agriculture Contracts over $100,000 or more"
Water Efficiency Labelling and Standards Regulator,Agriculture and Water Resources,waterrating.gov.au,https://www.waterrating.gov.au/sites/default/files/2019-01/wels-expansion-domestic-irrigation.docx,Final report on the consideration of domestic irrigation ...
Attorney-General's Department,Attorney-General's,ag.gov.au,https://www.ag.gov.au/Publications/Pages/SenateContinuingOrderFileLists.aspx,Senate Order for the production of indexed lists of ...
Administrative Appeals Tribunal,Attorney-General's,aat.gov.au,https://www.aat.gov.au/AAT/media/AAT/Files/Reports/1Julyto31December2018.pdf,CONTINUING ORDER OF THE SENATE File Name - aat.gov.au
Australian Commission for Law Enforcement Integrity,Attorney-General's,aclei.gov.au,https://www.aclei.gov.au/about/corporate-information/senate-order-file-lists,Senate Order file lists | Australian Commission for Law ...
Australian Financial Security Authority,Attorney-General's,afsa.gov.au,https://www.afsa.gov.au/about-us/corporate-information/senate-continuing-order,Senate Continuing Order | Australian Financial Security ...
Australian Human Rights Commission,Attorney-General's,humanrights.gov.au,https://www.humanrights.gov.au/our-work/commission-general/senate-file-listing-1-july-2011-31-december-2011,Senate File Listing 1 July 2011 – 31 December 2011 ...
Australian Law Reform Commission,Attorney-General's,alrc.gov.au,https://www.alrc.gov.au/sites/default/files/pdfs/publications/ALRC75.pdf,ALRC 75 Costs Shifting — who pays for litigation
Federal Court of Australia,Attorney-General's,fedcourt.gov.au,http://www.fedcourt.gov.au/about/corporate-information/senate-file-lists,Senate File Lists - Federal Court of Australia
National Archives of Australia,Attorney-General's,naa.gov.au,http://www.naa.gov.au/Images/JultoDec2005_tcm16-35980.pdf,SENATE FILE LIST - National Archives of Australia
Office of Parliamentary Counsel,Attorney-General's,opc.gov.au,https://www.opc.gov.au/sites/default/files/s19pt127.v03.docx,Senate File List July to December 2018 - opc.gov.au
Office of the Australian Information Commissioner,Attorney-General's,oaic.gov.au,https://www.oaic.gov.au/about-us/corporate-information/senate-file-list-order/,Senate file list order | Corporate information | About us ...
Office of the Commonwealth Ombudsman,Attorney-General's,ombudsman.gov.au,https://www.ombudsman.gov.au/__data/assets/pdf_file/0010/30007/senate_order_on_government_contracts_at_30_june_2009.pdf,Senate Order on Agency Contracts Listing Relating to the ...
Office of the Director of Public Prosecutions,Attorney-General's,cdpp.gov.au,https://www.cdpp.gov.au/about-us/accountability-and-reporting/file-list,File List | Commonwealth Director of Public Prosecutions
Office of the Inspector-General of Intelligence and Security,Attorney-General's,igis.gov.au,https://www.igis.gov.au/accountability/indexed-file-list,Indexed File List | IGIS
Administrative Review Council,Attorney-General's,ag.gov.au,https://www.ag.gov.au/Publications/Pages/SenateContinuingOrderFileLists.aspx,Senate Order for the production of indexed lists of ...
Australian Human Rights Commission,Attorney-General's,humanrights.gov.au,https://www.humanrights.gov.au/our-work/commission-general/senate-file-listing-1-july-2011-31-december-2011,Senate File Listing 1 July 2011 – 31 December 2011 ...
Defence Force Discipline Appeal Tribunal,Attorney-General's,defenceappeals.gov.au,UNKNOWN,UNKNOWN
Family Law Council,Attorney-General's,ag.gov.au,https://www.ag.gov.au/Publications/Pages/SenateContinuingOrderFileLists.aspx,Senate Order for the production of indexed lists of ...
Independent National Security Legislation Monitor,Attorney-General's,inslm.gov.au,http://www.inslm.gov.au/sites/default/files/files/control-order-safeguards-part2.pdf,Control Order Safeguards Part 2 - INSLM
